timestamp,pressure,sonar_dist,ice_thickness
2026-03-19 18:36:30.715641499,106929.99267578124,0.63,0.48424915993219747
2026-03-19 18:36:30.800743580,106929.99267578124,0.63,0.4842491600361939
2026-03-19 18:36:30.845213890,106929.99267578124,0.63,0.48424916010648045
2026-03-19 18:36:30.887983561,106929.99267578124,0.63,0.4842491602434415
2026-03-19 18:36:30.973370314,106929.99267578124,0.63,0.48424916020382797
2026-03-19 18:36:31.016855001,106929.99267578124,0.63,0.48424916017058783
2026-03-19 18:36:31.061268091,106929.99267578124,0.63,0.48424916003186513
2026-03-19 18:36:31.106528997,106929.99267578124,0.63,0.48424915984217803
2026-03-19 18:36:31.189512014,106929.99267578124,0.63,0.48424915988151856
2026-03-19 18:36:31.235213995,106929.99267578124,0.63,0.4842491599514037
2026-03-19 18:36:31.276262283,106929.99267578124,0.63,0.4842491602093199
2026-03-19 18:36:31.357264042,106929.99267578124,0.63,0.4842491604819058
2026-03-19 18:36:31.406445503,106929.99267578124,0.63,0.4842491606433334
2026-03-19 18:36:31.449581623,106929.99267578124,0.63,0.48424916057606954
2026-03-19 18:36:31.493178844,106929.99267578124,0.63,0.48424916066158635
2026-03-19 18:36:31.577796459,106929.99267578124,0.63,0.48424916030685317
2026-03-19 18:36:31.621153831,106929.99267578124,0.63,0.4842491602964893
2026-03-19 18:36:31.665212870,106929.99267578124,0.63,0.48424916012575603
2026-03-19 18:36:31.752009630,106929.99267578124,0.63,0.4842491601715221
2026-03-19 18:36:31.793234110,106929.99267578124,0.63,0.4842491607216961
2026-03-19 18:36:31.837130308,106929.99267578124,0.63,0.48424916056958656
2026-03-19 18:36:31.922243595,106929.99267578124,0.63,0.484249161198018
2026-03-19 18:36:31.965790033,106929.99267578124,0.63,0.4842491611132771
2026-03-19 18:36:32.009102106,106929.99267578124,0.63,0.4842491612087752
2026-03-19 18:36:32.053769350,106929.99267578124,0.63,0.48424916100048704
2026-03-19 18:36:32.138275623,106929.99267578124,0.63,0.4842491606266654
2026-03-19 18:36:32.180848598,106940.00244140624,0.63,0.48536187979768136
2026-03-19 18:36:32.225039482,106940.00244140624,0.63,0.4853618798528821
2026-03-19 18:36:32.269870281,106940.00244140624,0.63,0.4853618798291549
2026-03-19 18:36:32.353663445,106940.00244140624,0.631,0.48427136751969774
2026-03-19 18:36:32.397907972,106940.00244140624,0.631,0.48427136788491076
2026-03-19 18:36:32.441999912,106940.00244140624,0.631,0.4842713678490935
2026-03-19 18:36:32.527900218,106940.00244140624,0.631,0.48427136779816127
2026-03-19 18:36:32.570060492,106940.00244140624,0.631,0.48427136764502715
2026-03-19 18:36:32.613908052,106940.00244140624,0.631,0.48427136723275327
2026-03-19 18:36:32.659067154,106940.00244140624,0.631,0.48427136714947977
2026-03-19 18:36:32.741852760,106940.00244140624,0.631,0.48427136725421516
2026-03-19 18:36:32.785652399,106940.00244140624,0.631,0.4842713671209464
2026-03-19 18:36:32.829116583,106940.00244140624,0.631,0.4842713676092378
2026-03-19 18:36:32.914476395,106940.00244140624,0.631,0.4842713676173137
2026-03-19 18:36:32.959779024,106940.00244140624,0.631,0.4842713675422574
2026-03-19 18:36:33.001518250,106940.00244140624,0.631,0.4842713676553516
2026-03-19 18:36:33.044953108,106940.00244140624,0.631,0.48427136754866973
2026-03-19 18:36:33.130013704,106940.00244140624,0.631,0.48427136745512334
2026-03-19 18:36:33.174619198,106940.00244140624,0.631,0.4842713674650596
2026-03-19 18:36:33.217592001,106940.00244140624,0.631,0.484271367604459
2026-03-19 18:36:33.306543589,106940.00244140624,0.632,0.48318085538407507
2026-03-19 18:36:33.345535517,106940.00244140624,0.632,0.48318085552442785
2026-03-19 18:36:33.389849424,106940.00244140624,0.632,0.4831808554611769
2026-03-19 18:36:33.474797249,106940.00244140624,0.632,0.4831808556407767
